Producto,SKU,Stock,Costo,Precio,Unidad de Medida,Fecha de Caducidad
Mermelada de durazno 270g,ABR-00328,188,32.02,47.68,pieza,2026-10-03
Tomate saladette Pack 3,ABR-00329,122,25.24,43.19,kg,2027-08-21
Chicles Orbit Spearmint,ABR-00330,139,14.90,24.13,paquete,2027-07-29
Pizza congelada Pepperoni,ABR-00331,177,77.65,112.52,pieza,2027-04-28
Desodorante Rexona Clinical,ABR-00332,76,59.02,81.99,pieza,2029-10-27
Duvalín Tricolor,ABR-00333,125,6.20,10.30,pieza,2027-06-21
Chocolate Ibarra 2 tabletas,ABR-00334,70,29.94,43.99,paquete,2027-05-22
Queso Panela Chilchota 400g,ABR-00335,196,55.38,87.19,pieza,2026-12-28
Lucas Muecas Chamoy Mini,ABR-00336,167,7.46,13.88,pieza,2027-04-20
Encendedor BIC,ABR-00337,238,7.62,15.09,pieza,2030-01-31
Huevos San Juan 12pz Mini,ABR-00338,291,42.58,55.61,paquete,2027-03-20
Algodón 100g Pack 2,ABR-00339,25,17.75,28.97,pieza,2029-05-01
Coca-Cola 2L,ABR-00340,263,20.80,38.93,pieza,2027-12-02
Analgésico Aspirina 20 tabs Familiar,ABR-00341,232,36.91,59.35,paquete,2026-10-31
Analgésico Aspirina 20 tabs,ABR-00342,239,38.21,60.07,paquete,2026-09-08
Gasolina aditivo STP 350ml,ABR-00343,239,83.88,137.02,pieza,2028-10-06
Agua de Horchata concentrada 1L,ABR-00344,168,21.98,37.45,pieza,2026-09-08
Pepsi 600ml Light Jumbo,ABR-00345,139,7.24,15.10,pieza,2027-12-19
Isotónico Electrolit Coco 625ml,ABR-00346,49,23.24,34.82,pieza,2026-11-24
Frijol Negro Verde Valle 1kg Individual,ABR-00347,3,32.76,49.68,kg,2027-07-12
Café soluble Dolca 170g Mini,ABR-00348,219,74.96,104.29,pieza,2027-09-20
Chocolate Kinder Surprise,ABR-00349,24,27.23,41.33,pieza,2027-02-06
Huevos San Juan 12pz,ABR-00350,140,44.93,53.42,paquete,2027-11-01
Pilas AA Duracell 4pz Familiar,ABR-00351,2,53.26,88.03,paquete,2030-01-10
Electrolit Manzana 625ml,ABR-00352,119,21.07,35.94,pieza,2027-06-11
Tocino Kirby 250g,ABR-00353,180,58.02,93.56,pieza,2027-06-15
Plátano Familiar,ABR-00354,245,17.62,26.75,kg,2026-12-15
Chocolate Ibarra 2 tabletas Mini,ABR-00355,179,30.19,41.15,paquete,2027-11-26
Pilas AAA Duracell 4pz,ABR-00356,63,56.44,81.17,paquete,2029-01-07
Galletas Habano,ABR-00357,144,18.59,26.11,paquete,2026-11-23
Café soluble Nescafé 100g,ABR-00358,137,69.19,100.00,pieza,2027-01-01
Pan Bimbo Integral,ABR-00359,387,42.14,54.44,pieza,2027-12-14
Cerveza Corona Extra 355ml,ABR-00360,33,17.84,26.01,pieza,2028-01-08
Sopa Nissin Carne,ABR-00361,206,6.97,12.92,pieza,2027-06-12
Cilantro Familiar,ABR-00362,148,8.41,15.59,manojo,2026-10-14
Powerade Azul 500ml,ABR-00363,15,11.87,21.14,pieza,2026-10-10
Té negro 25 sobres Individual,ABR-00364,164,18.98,30.13,paquete,2027-10-05
Cereal Choco Krispis 480g,ABR-00365,232,51.02,82.61,pieza,2027-08-22
Atún Dolores en agua 140g Mini,ABR-00366,198,19.08,26.36,pieza,2026-11-30
Tortillas de harina 500g,ABR-00367,134,21.62,32.91,paquete,2026-08-04
Pilas AAA Duracell 4pz Familiar,ABR-00368,108,54.67,87.98,paquete,2031-07-18
Atún Tuny en aceite 140g,ABR-00369,70,16.31,25.36,pieza,2027-02-10
Agua mineral Peñafiel 600ml,ABR-00370,334,11.26,20.99,pieza,2026-08-17
Cacahuates salados 100g Pack 2,ABR-00371,172,15.23,23.79,pieza,2026-09-19
Palomitas ACT II Mantequilla,ABR-00372,55,17.72,26.81,pieza,2026-09-27
Huevos San Juan 12pz,ABR-00373,314,40.58,60.93,paquete,2027-06-23
Esponja Scotch-Brite 2pz,ABR-00374,77,22.61,34.00,paquete,2029-05-13
Helado Holanda Vainilla 1L,ABR-00375,142,54.24,81.94,pieza,2027-01-27
Rastrillo Gillette Prestobarba 2pz,ABR-00376,88,35.31,51.01,paquete,2030-09-12
Aceite de oliva Extra Virgen 500ml,ABR-00377,76,87.67,123.17,pieza,2027-08-21
Concha pan dulce,ABR-00378,382,7.97,14.78,pieza,2026-12-26
Panque Bimbo Nuez,ABR-00379,305,16.73,27.61,pieza,2026-12-16
Chiles Jalapeños La Costeña 220g Pack 3,ABR-00380,115,15.57,23.32,pieza,2027-08-15
Cerveza Corona Extra 355ml,ABR-00381,96,18.95,25.99,pieza,2026-09-10
Mole Doña María 235g Jumbo,ABR-00382,122,33.15,48.45,pieza,2027-03-02
Salsa roja Herdez 210g,ABR-00383,54,13.56,23.44,pieza,2027-02-11
Mango Ataulfo Individual,ABR-00384,180,40.52,59.82,kg,2027-02-26
Frijoles refritos La Costeña 580g,ABR-00385,97,18.15,29.23,pieza,2027-11-21
Jabón Zote Blanco 400g,ABR-00386,225,17.45,27.37,pieza,2031-05-08
Té de manzanilla 25 sobres Mini,ABR-00387,234,21.89,36.90,paquete,2027-02-25
Cereal Zucaritas 490g,ABR-00388,189,51.00,86.78,pieza,2026-12-28
Fanta Naranja 600ml Jumbo,ABR-00389,39,8.10,14.31,pieza,2027-02-17
Frijol Negro Verde Valle 1kg Jumbo,ABR-00390,167,33.71,47.99,kg,2027-07-12
Runners 50g,ABR-00391,189,9.98,15.54,pieza,2027-12-16
Caldo Maggi Tomate 8 cubos Familiar,ABR-00392,125,15.15,25.88,paquete,2027-02-05
Aceite motor 1L,ABR-00393,134,102.45,155.61,pieza,2028-10-01
Agua de Horchata concentrada 1L,ABR-00394,23,23.57,35.94,pieza,2027-09-27
Huevos San Juan 12pz,ABR-00395,131,40.20,59.92,paquete,2027-12-31
Consomé de pollo Knorr 8 cubos,ABR-00396,157,18.34,28.75,paquete,2027-12-08
Suero oral Vida Suero Oral,ABR-00397,3,16.58,28.23,pieza,2026-08-18
Galletas Saladitas 185g,ABR-00398,128,22.13,32.84,paquete,2027-10-15
Panque Bimbo Nuez,ABR-00399,96,17.08,29.87,pieza,2027-04-04
Gansito Marinela,ABR-00400,203,11.52,17.58,pieza,2027-09-11
Yogurt Yoplait Fresa 125g,ABR-00401,178,7.88,14.15,pieza,2027-03-20
Duvalín Tricolor,ABR-00402,219,6.33,10.25,pieza,2026-09-02
Cerveza Corona Extra 355ml,ABR-00403,163,17.65,27.89,pieza,2026-08-10
Limón Individual,ABR-00404,84,29.55,46.04,kg,2026-11-06
Cuernito de jamón y queso,ABR-00405,222,16.68,26.71,pieza,2027-11-30
Snickers 50g Pack 2,ABR-00406,139,16.47,24.12,pieza,2026-09-03
Tortillas de harina 500g,ABR-00407,93,21.35,37.58,paquete,2027-09-12
Yogurt Danone Natural 1L Jumbo,ABR-00408,99,26.84,44.25,pieza,2027-07-06
Sardinas en tomate 425g,ABR-00409,185,20.73,37.74,pieza,2026-10-20
Mermelada de durazno 270g,ABR-00410,59,29.26,42.10,pieza,2026-10-17
Sal La Fina 1kg,ABR-00411,248,12.22,18.28,kg,2030-05-23
Jugo Del Valle Naranja 1L,ABR-00412,58,18.82,31.75,pieza,2027-07-31
Suavitel Fresca Primavera 850ml,ABR-00413,169,34.62,53.50,pieza,2030-09-10
Bebida Yakult 5pz,ABR-00414,18,33.85,49.89,paquete,2026-10-24
Chocolate Kinder Bueno Mini,ABR-00415,99,18.82,26.45,pieza,2027-06-21
Avena Quaker 400g Pack 2,ABR-00416,194,37.48,51.54,pieza,2027-05-04
Cerveza Victoria 355ml Pack 3,ABR-00417,131,15.82,25.23,pieza,2027-09-22
Cerveza Victoria 355ml Familiar,ABR-00418,200,16.14,25.39,pieza,2027-06-29
Salsa verde Herdez 210g,ABR-00419,21,13.53,21.61,pieza,2027-04-06
Bolsas de basura 50L 20pz,ABR-00420,68,36.04,49.25,paquete,2030-04-01
Chocolate Kinder Bueno,ABR-00421,107,16.74,27.71,pieza,2027-06-03
Leche condensada Nestlé 397g,ABR-00422,340,27.38,44.99,pieza,2027-12-21
Shampoo Head & Shoulders 375ml,ABR-00423,1,64.56,89.46,pieza,2030-10-12
Frijol Bayo Verde Valle 1kg,ABR-00424,112,29.42,47.61,kg,2027-07-09
Salsa Valentina 370ml,ABR-00425,34,19.04,30.12,pieza,2027-06-04
Gomitas de osito 100g,ABR-00426,45,16.50,24.92,pieza,2027-09-12
Mentas Tic Tac Menta Mini,ABR-00427,200,18.38,30.10,pieza,2027-04-06
Arroz Schettino 1kg,ABR-00428,29,29.42,41.28,kg,2027-02-21
Jabón Dove Original 90g,ABR-00429,6,20.87,36.50,pieza,2031-02-24
Cebolla blanca Familiar,ABR-00430,217,21.06,29.79,kg,2027-09-23
Nuggets de pollo 500g,ABR-00431,168,66.39,91.08,pieza,2027-01-05
Aguacate Hass,ABR-00432,265,53.92,84.31,kg,2027-09-15
Jabón Zote Blanco 400g,ABR-00433,139,19.21,28.86,pieza,2028-10-07
Café soluble Dolca 170g,ABR-00434,152,74.32,115.50,pieza,2026-10-27
Refresco Jarritos Tamarindo 370ml,ABR-00435,165,10.25,17.58,pieza,2026-09-15
Servilletas Pétalo 200pz,ABR-00436,192,28.80,41.33,paquete,2030-06-03
Leche deslactosada Alpura 1L,ABR-00437,285,23.96,36.53,pieza,2027-03-15
Mostaza French's 226g,ABR-00438,176,27.83,43.21,pieza,2027-12-26
Salchicha San Rafael 500g,ABR-00439,106,44.35,67.44,paquete,2026-10-27
Té Lipton Limón 500ml,ABR-00440,87,11.41,18.54,pieza,2027-11-10
Cigarros Camel 20pz Individual,ABR-00441,184,70.25,86.08,cajetilla,2031-02-05
Mentas Tic Tac Menta Pack 2,ABR-00442,217,18.89,26.28,pieza,2027-07-18
Analgésico Tempra 500mg 20 tabs Pack 3,ABR-00443,132,48.10,70.62,paquete,2027-01-26
Suavitel Fresca Primavera 850ml Jumbo,ABR-00444,204,34.59,51.68,pieza,2030-10-31
Crema Nivea Soft 200ml Mini,ABR-00445,188,66.64,93.41,pieza,2029-09-01
Vinagre blanco 1L,ABR-00446,52,11.79,20.66,pieza,2030-02-14
Pilas AA Duracell 4pz,ABR-00447,204,57.60,86.05,paquete,2029-08-10
Cereal Corn Flakes 500g,ABR-00448,220,47.67,69.26,pieza,2027-12-15
Galletas Saladitas 185g,ABR-00449,100,21.34,33.39,paquete,2026-11-25
Aceite 1-2-3 1L,ABR-00450,172,37.74,52.12,pieza,2027-06-01
Limpiaparabrisas 500ml,ABR-00451,30,42.01,70.61,pieza,2029-11-24
Rockaleta Familiar,ABR-00452,107,7.22,11.02,pieza,2026-12-20
Esponja Scotch-Brite 2pz,ABR-00453,177,20.89,35.76,paquete,2029-07-13
Papel higiénico Pétalo 4 rollos Familiar,ABR-00454,115,39.58,60.16,paquete,2028-11-10
Salsa verde Herdez 210g,ABR-00455,208,12.90,20.72,pieza,2027-08-29
Papel higiénico Regio 4 rollos,ABR-00456,106,37.97,56.63,paquete,2031-01-19
Crema de coco 400ml Jumbo,ABR-00457,74,29.60,50.00,pieza,2026-09-03
M&M's Chocolate 45g Familiar,ABR-00458,190,20.83,34.76,pieza,2027-12-21
Limpiador Fabuloso Lavanda 1L,ABR-00459,139,28.33,40.44,pieza,2030-08-14
Detergente Ace 1kg,ABR-00460,139,35.21,56.93,kg,2029-10-14
Pasta codito La Moderna 200g Mini,ABR-00461,8,8.32,13.55,pieza,2027-11-04
Chocolate Carlos V 18g,ABR-00462,30,8.41,11.88,pieza,2027-03-31
Sabritas Original 45g,ABR-00463,332,12.17,17.57,pieza,2027-10-13
Pan Bimbo Integral,ABR-00464,50,43.91,60.91,pieza,2027-07-26
Jabón Zote Blanco 400g Jumbo,ABR-00465,74,17.04,30.15,pieza,2030-03-08
Bolsas de basura 50L 20pz Jumbo,ABR-00466,24,37.72,53.49,paquete,2029-04-27
Pilas AA Duracell 4pz,ABR-00467,221,58.69,91.70,paquete,2029-04-09
Limón,ABR-00468,212,26.88,46.52,kg,2027-04-11
Fósforos Cerillos La Central,ABR-00469,161,4.91,9.43,caja,2030-01-25
Rastrillo Gillette Prestobarba 2pz,ABR-00470,225,34.73,56.18,paquete,2029-01-30
Champiñones enlatados 380g,ABR-00471,94,21.22,37.44,pieza,2027-11-09
Leche evaporada Carnation 360g,ABR-00472,67,20.25,35.49,pieza,2027-11-13
Alcohol 70% 500ml,ABR-00473,136,27.36,39.07,pieza,2030-10-16
Doritos Nacho 58g,ABR-00474,82,14.73,19.98,pieza,2027-05-18
Azúcar refinada 1kg,ABR-00475,201,22.58,38.03,kg,2027-07-18
Pan dulce concha chocolate,ABR-00476,255,8.35,14.04,pieza,2026-08-17
Queso Panela Chilchota 400g,ABR-00477,239,51.99,81.43,pieza,2027-02-24
Plátano,ABR-00478,223,19.10,27.11,kg,2027-05-08
Cerveza Corona Extra 355ml,ABR-00479,231,17.28,27.43,pieza,2027-01-17
Monster Energy 473ml,ABR-00480,59,31.00,56.76,pieza,2027-10-14
Electrolit Manzana 625ml Pack 2,ABR-00481,33,20.24,34.87,pieza,2027-03-20
Galletas Chokis,ABR-00482,209,22.12,39.19,paquete,2026-12-02
Nopales en escabeche 400g,ABR-00483,98,16.94,26.08,pieza,2026-10-31
Zanahoria,ABR-00484,76,16.86,27.41,kg,2026-12-19
Atún Tuny en aceite 140g,ABR-00485,173,17.69,24.47,pieza,2026-12-25
Leche Lala Light 1L,ABR-00486,199,21.19,34.82,pieza,2027-03-07
Rastrillo Gillette Prestobarba 2pz,ABR-00487,113,37.35,56.02,paquete,2029-10-11
Agua mineral Topo Chico 600ml,ABR-00488,216,13.19,23.49,pieza,2027-07-26
Pasta fideo La Moderna 200g,ABR-00489,21,7.54,13.50,pieza,2027-04-12
Suavitel Fresca Primavera 850ml,ABR-00490,240,36.24,50.21,pieza,2028-09-16
Flan Danette Vainilla 100g,ABR-00491,155,10.60,15.25,pieza,2028-01-04
Donas Bimbo 6pz,ABR-00492,229,33.86,44.58,paquete,2027-04-03
Miel de abeja 300g,ABR-00493,18,52.72,86.88,pieza,2031-07-10
Isotónico Electrolit Coco 625ml,ABR-00494,33,23.71,37.43,pieza,2027-09-01
Nopales en escabeche 400g,ABR-00495,44,17.77,28.21,pieza,2027-11-26
Audífonos básicos Jumbo,ABR-00496,10,51.19,95.23,pieza,2028-11-24
Café soluble Dolca 170g,ABR-00497,196,69.54,113.74,pieza,2027-09-30
Pasta codito La Moderna 200g,ABR-00498,157,7.47,14.08,pieza,2027-01-04
Skittles 61g Pack 2,ABR-00499,206,20.04,30.48,pieza,2027-01-07
Detergente Roma 1kg,ABR-00500,166,32.44,50.02,kg,2028-12-06
Chicles Trident Menta,ABR-00501,14,14.52,23.22,paquete,2027-04-08
Agua mineral Topo Chico 600ml,ABR-00502,178,13.14,25.45,pieza,2027-01-27
Queso Oaxaca Lala 400g Pack 3,ABR-00503,243,67.10,89.89,pieza,2027-07-22
Galletas Arcoíris,ABR-00504,95,21.03,30.77,paquete,2026-12-08
Encendedor BIC,ABR-00505,197,7.70,15.93,pieza,2028-09-22
Frijol Bayo Verde Valle 1kg,ABR-00506,182,28.91,41.86,kg,2026-10-18
Mermelada de fresa McCormick 270g,ABR-00507,145,31.28,48.00,pieza,2027-01-18
Cereal Zucaritas 490g Pack 2,ABR-00508,29,58.47,84.28,pieza,2027-03-22
Mango Ataulfo,ABR-00509,62,35.23,61.37,kg,2026-09-17
Té negro 25 sobres,ABR-00510,245,21.34,30.36,paquete,2026-09-06
Suavitel Fresca Primavera 850ml,ABR-00511,57,36.20,53.30,pieza,2030-05-14
Chicharrones Totis 50g,ABR-00512,19,12.42,17.34,pieza,2027-08-17
Queso Oaxaca Lala 400g,ABR-00513,205,69.18,90.13,pieza,2028-01-11
Powerade Azul 500ml,ABR-00514,72,10.71,20.88,pieza,2027-06-15
Arroz Schettino 1kg Individual,ABR-00515,144,25.80,39.99,kg,2027-06-08
Mango Ataulfo,ABR-00516,126,37.78,58.85,kg,2027-02-17
Zanahoria,ABR-00517,1,18.75,26.86,kg,2027-09-24
Agua Bonafont 1.5L Familiar,ABR-00518,191,8.17,15.46,pieza,2026-08-02
Fósforos Cerillos La Central,ABR-00519,26,5.28,10.36,caja,2029-09-17
Galletas Saladitas 185g,ABR-00520,248,21.72,36.51,paquete,2026-12-24
